Category,methods,Toilet,Knife,Fridge,Microwave,Laptop,Phone,Seat,LampOff,LampOn,Book,Umbrella,Grill,Bin,Level-1 avg (std),USB,Lid,Plate,Ball,Scoop,Rope,Oven,Buzz,Plants,Charger,Level-2 avg (std),All avg (std)
in-domain training,PerAct,0.0,5.3,37.3,64.0,2.7,0.0,72.0,0.0,1.3,0.0,1.3,8.0,54.7,"19.0 (1.4)",58.7,2.7,0.0,0.0,0.0,0.0,1.3,4.0,6.7,2.7,"7.6 (1.1)","14.0 (0.9)"
in-domain training,RVT,0.0,2.7,50.7,26.7,50.7,2.7,40.0,0.0,1.3,0.0,1.3,0.0,6.7,"14.0 (1.4)",89.3,2.7,0.0,0.0,0.0,0.0,4.0,8.0,5.3,4.0,"11.3 (1.6)","12.8 (0.2)"
in-domain training,Sigma-Agent,0.0,9.3,56.0,9.3,30.7,1.3,65.3,1.3,0.0,0.0,0.0,1.3,4.0,"13.7 (1.6)",88.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,5.3,1.3,"10.7 (1.7)","12.4 (0.4)"
in-domain training,RVT2,0.0,1.3,0.0,17.3,42.7,1.3,62.7,2.7,1.3,0.0,1.3,5.3,34.7,"13.1 (0.4)",22.7,40.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,"6.7 (1.3)","10.3 (0.6)"
in-domain training,InstantPolicy,0.0,1.3,13.3,4.0,4.0,18.7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,"4.3 (4.2)",26.7,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,"2.9 (1.4)","3.7 (3.0)"
human-video pretraining,D4R,0.0,8.0,32.0,30.7,24.0,0.0,65.3,20.0,4.0,0.0,0.0,0.0,0.0,"14.1 (0.3)",98.7,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,4.0,"10.7 (0.2)","12.6 (0.2)"
human-video pretraining,R3M,0.0,0.0,37.3,22.7,25.3,1.3,62.7,6.7,4.0,0.0,0.0,0.0,0.0,"12.3 (1.4)",48.0,0.0,0.0,0.0,0.0,0.0,8.0,2.7,2.7,1.3,"6.3 (0.9)","9.7 (0.6)"
human-video pretraining,D4R-Align,0.0,2.7,45.3,74.7,24.0,0.0,41.3,0.0,0.0,1.3,0.0,0.0,0.0,"14.5 (1.0)",89.3,1.3,0.0,0.0,0.0,0.0,8.0,6.7,0.0,1.3,"10.7 (0.2)","12.8 (0.6)"
human-video pretraining,R3M-Align,0.0,4.0,49.3,25.3,21.3,0.0,49.3,0.0,5.3,0.0,0.0,1.3,1.3,"12.9 (0.7)",90.7,0.0,1.3,0.0,0.0,0.0,2.7,13.3,4.0,0.0,"11.2 (0.7)","12.2 (0.3)"
VLA foundations,OpenVLA,0.0,5.3,38.7,40.0,57.3,0.0,53.3,12.0,1.3,1.3,0.0,10.7,0.0,"16.9 (1.3)",77.3,0.0,0.0,0.0,0.0,0.0,6.7,5.3,2.7,0.0,"9.2 (0.7)","13.6 (0.8)"
